1chr_position	sample3	sample1	sample4	sample2
chr20,50477140,50478441	0.978	0.828	0.914	0.415
chr20,52901631,52902121	0.100	0.944	0.417	0.571
chr20,34313830,34314138	0.742	1.000	1.000	1.000
chr20,47243396,47243897	0.000	0.333	0.647	0.667
chr20,46360536,46361456	0.939	0.433	0.892	0.400
chr20,23482394,23483434	0.792	0.659	0.877	0.455
chr20,23038409,23039853	0.939	0.985	1.000	0.593
chr20,33631070,33632504	0.545	0.260	0.853	0.667
chr20,42255861,42257480	0.818	0.708	0.838	0.573
chr20,61770563,61770688	0.929	0.524	NA	NA
chr20,47546639,47546815	0.217	NA	0.818	0.667
chr20,38864451,38866712	0.771	0.957	0.849	0.926
chr20,61420001,61420878	0.943	0.905	0.896	0.647
chr20,52682091,52682524	0.682	1.000	0.750	1.000
chr20,31700157,31700816	0.600	0.583	0.187	1.000
chr20,470861,472246	1.000	1.000	0.800	1.000
chr20,36015514,36016005	0.938	0.738	0.815	0.429
chr20,30695424,30696826	0.827	0.867	0.958	1.000
chr20,46375098,46377021	0.628	0.906	0.754	0.785
chr20,43078400,43078600	1.000	1.000	NA	0.609
chr20,17982261,17982881	NA	0.308	0.538	0.787
chr20,45792744,45793668	0.829	0.759	0.954	0.731
chr20,50651714,50651896	NA	0.917	NA	0.200
chr20,23145598,23146106	0.824	0.870	0.958	0.280
chr20,54708768,54711071	0.783	0.943	0.873	0.600
chr20,31589088,31589244	1.000	NA	1.000	0.000
chr20,8355878,8357945	0.941	0.983	0.864	0.969
chr20,31210179,31211478	0.824	0.894	0.876	0.984
chr20,47874468,47875296	0.950	1.000	0.978	0.853
chr20,17997203,17997563	NA	1.000	0.720	0.938
chr20,14514839,14518299	0.706	0.636	0.750	0.964
chr20,20027894,20029599	0.813	0.950	0.985	0.990
chr20,19305033,19305314	0.059	0.714	NA	0.692
chr20,54044420,54046014	1.000	0.913	0.967	0.846
chr20,25201790,25202061	1.000	0.938	1.000	0.429
chr20,37416512,37417094	NA	0.911	0.526	0.636
chr20,32729070,32730728	0.316	0.696	0.727	0.949
chr20,41599138,41599586	1.000	0.222	0.429	NA
chr20,47694192,47695786	1.000	0.978	0.810	1.000
chr20,60722519,60723196	0.944	NA	0.988	0.520
chr20,48680746,48683759	0.839	0.904	0.958	0.793
chr20,48242488,48242538	NA	0.467	0.091	NA
chr20,51321073,51322477	0.889	0.952	0.579	NA
chr20,39514927,39515320	NA	0.526	0.846	1.000
chr20,29814538,29814715	0.765	0.649	0.585	0.449
chr20,29815767,29816067	0.413	0.312	0.381	0.395
chr20,22043448,22047348	0.904	0.734	0.627	0.692
chr20,261492,262593	0.881	0.837	0.784	0.115
chr20,424257,425137	1.000	0.808	0.952	0.529
chr20,5429072,5429643	NA	0.200	0.057	0.647
chr20,10929720,10929958	0.977	0.667	0.905	NA
chr20,37192125,37194777	0.877	0.941	0.927	0.205
chr20,44562711,44562974	NA	0.615	0.000	0.000
chr20,16206840,16207435	0.688	1.000	1.000	NA
chr20,42655645,42655673	0.952	0.429	NA	NA
chr20,10720226,10720693	1.000	0.057	0.913	0.639
chr20,3308704,3309128	1.000	1.000	1.000	0.677
chr20,50849478,50850114	0.907	0.896	0.854	0.717
chr20,11452817,11453891	NA	0.811	0.462	0.833
chr20,61652621,61652999	NA	0.381	0.976	0.743
chr20,50328754,50329869	1.000	0.969	0.900	0.771
chr20,18195812,18196278	0.882	0.857	0.895	0.634
chr20,45417350,45417757	0.978	0.985	0.111	NA
chr20,31037691,31040260	0.708	0.562	0.645	0.353
chr20,35470154,35473159	0.771	0.742	0.597	0.347
chr20,19563863,19564880	0.793	0.593	0.672	0.238
chr20,4233133,4235680	0.896	0.922	0.824	0.696
chr20,703647,704658	0.836	0.875	0.885	0.637
chr20,3906445,3909199	0.474	0.216	0.320	0.437
chr20,21675274,21676213	NA	0.905	0.541	1.000
chr20,45772289,45773086	0.750	0.830	0.245	0.761
chr20,45703644,45705183	0.769	0.895	0.982	0.600
chr20,37347072,37349894	0.321	0.255	0.754	0.600
chr20,23002773,23004076	0.953	0.878	0.981	0.562
chr20,16987622,16988366	0.857	0.483	1.000	0.692
chr20,57430622,57430662	NA	1.000	0.692	0.532
chr20,23997784,23998636	0.950	0.583	0.500	0.400
chr20,2189713,2190412	NA	1.000	0.833	0.091
chr20,38309285,38309991	NA	0.067	0.750	NA
chr20,45586766,45586830	1.000	NA	0.625	NA
chr20,12975536,12977504	0.899	0.959	0.892	0.795
chr20,46577905,46578161	NA	0.320	0.793	NA
chr20,35701277,35703019	0.840	0.940	0.963	0.628
chr20,16416606,16417651	1.000	0.880	0.550	0.778
chr20,62245949,62246887	NA	0.923	0.941	0.742
chr20,43168744,43170732	0.865	0.895	0.657	0.642
chr20,55787819,55789795	0.500	0.605	0.866	0.860
chr20,52425088,52425194	NA	NA	1.000	0.680
chr20,22777827,22778080	0.867	0.529	NA	1.000
chr20,32208933,32211047	1.000	0.960	0.912	0.845
chr20,50096771,50097390	0.960	0.897	0.509	0.757
chr20,47497688,47500996	0.922	0.884	0.804	0.600
chr20,52111934,52112586	0.524	0.706	0.135	0.571
chr20,45891148,45892810	0.547	0.847	0.785	0.833
chr20,35143917,35144796	1.000	0.895	0.990	0.417
chr20,51626579,51626772	0.895	0.533	0.846	NA
chr20,52087988,52088570	NA	0.852	0.146	0.655
chr20,51034497,51036687	0.818	0.885	0.909	0.606
chr20,59314533,59315542	0.615	0.412	0.800	1.000
chr20,39141606,39141935	NA	0.136	NA	1.000
chr20,25888117,25889859	1.000	0.583	0.538	0.455
chr20,8623994,8624488	0.500	0.964	0.700	0.919
chr20,15365095,15367204	0.988	0.898	0.936	0.650
chr20,13005756,13007394	0.667	0.890	0.896	0.538
chr20,48449348,48449738	0.208	0.714	0.609	NA
chr20,31966696,31967654	1.000	0.977	0.932	0.758
chr20,53812865,53813511	0.368	0.132	0.333	0.524
chr20,50239676,50240116	0.939	0.897	0.592	0.857
chr20,30659195,30659856	0.846	0.656	0.978	0.852
chr20,3658991,3659698	0.818	0.526	0.591	0.156
chr20,30713027,30713627	1.000	0.905	0.905	0.526
chr20,61173932,61175074	0.696	0.228	0.552	0.045
chr20,30400659,30402430	1.000	0.975	0.857	1.000
chr20,36060078,36060383	0.522	0.950	0.786	NA
chr20,34197051,34197789	NA	1.000	0.692	0.231
